NAME OF ISSUER      TITLE OF CLASS      CUISP       VALUE       SSHPRNAMT       SSHPRNAMTTYPE       VOTINGSOLE      VOTINGSHARED 
GAMESTOP CORP NEW        CL A         36467W109        3247        117700       SH       117700        0
GAP INC DEL        COM         364760108        10355        465605       SH       465605        0
GENERAL GROWTH PPTYS INC NEW        COM         370023103        375        13600       SH       13600        0
GENERAL MLS INC        COM         370334104        5915        92600       SH       92600        0
GILEAD SCIENCES INC        COM         375558103        24944        315272       SH       315272        0
GNC HLDGS INC        COM CL A         36191G107        434        21261       SH       21261        0
GOLD FIELDS LTD NEW        SPONSORED ADR         38059T106        3440        709200       SH       709200        0
GOLDCORP INC NEW        COM         380956409        11715        709119       SH       709119        0
GOLDMAN SACHS GROUP INC        COM         38141G104        4532        28100       SH       28100        0
HERSHEY CO        COM         427866108        3869        40471       SH       40471        0
HESS CORP        COM         42809H107        4617        86100       SH       86100        0
HOME DEPOT INC        COM         437076102        11221        87200       SH       87200        0
ILLINOIS TOOL WKS INC        COM         452308109        3800        31705       SH       31705        0
IMPERIAL OIL LTD        COM NEW         453038408        15909        509450       SH       509450        0
INTEL CORP        COM         458140100        57495        1523043       SH       1523043        0
INTERCONTINENTAL EXCHANGE IN        COM         45866F104        1428        5300       SH       5300        0
INTERNATIONAL BUSINESS MACHS        COM         459200101        16377        103100       SH       103100        0
INTL PAPER CO        COM         460146103        8451        176140       SH       176140        0
INTUITIVE SURGICAL INC        COM NEW         46120E602        5364        7400       SH       7400        0
INVESCO LTD        SHS         G491BT108        472        15100       SH       15100        0
ISHARES        MSCI STH KOR ETF         464286772        6326        108820       SH       108820        0
ISHARES        MSCI BRZ CAP ETF         464286400        154275        4573811       SH       4573811        0
ISHARES INC        CORE MSCI EMKT         46434G103        60174        1319320       SH       1319320        0
ISHARES TR        IBOXX HI YD ETF         464288513        8237        94400       SH       94400        0
ISHARES TR        CORE SP500 ETF         464287200        38073        175000       SH       0        0
ISHARES TR        IBOXX INV CP ETF         464287242        113308        919855       SH       919855        0
ISHARES TR        MSCI EMG MKT ETF         464287234        2658828        70996740       SH       70996740        0
JOHNSON  JOHNSON        COM         478160104        5245        44400       SH       44400        0
JUNIPER NETWORKS INC        COM         48203R104        26118        1085556       SH       1085556        0
KANSAS CITY SOUTHERN        COM NEW         485170302        6952        74498       SH       74498        0
KELLOGG CO        COM         487836108        10880        140442       SH       140442        0
KILROY RLTY CORP        COM         49427F108        451        6500       SH       6500        0
KIMBERLY CLARK CORP        COM         494368103        9372        74300       SH       74300        0
KINROSS GOLD CORP        COM NO PAR         496902404        4383        1041700       SH       1041700        0
KOHLS CORP        COM         500255104        13700        313136       SH       313136        0
KROGER CO        COM         501044101        6370        214610       SH       214610        0
L BRANDS INC        COM         501797104        10762        152076       SH       152076        0
LABORATORY CORP AMER HLDGS        COM NEW         50540R409        4240        30844       SH       30844        0
LAM RESEARCH CORP        COM         512807108        9744        102880       SH       102880        0
LAS VEGAS SANDS CORP        COM         517834107        219        3800       SH       3800        0
LAUDER ESTEE COS INC        CL A         518439104        434        4900       SH       4900        0
LEGGETT  PLATT INC        COM         524660107        2110        46300       SH       46300        0
LENNAR CORP        CL A         526057104        1629        38471       SH       38471        0
LEVEL 3 COMMUNICATIONS INC        COM NEW         52729N308        4119        88800       SH       88800        0
LIBERTY INTERACTIVE CORP        QVC GP COM SER A         53071M104        342        17100       SH       17100        0
LILLY ELI  CO        COM         532457108        1596        19881       SH       19881        0
LINKEDIN CORP        COM CL A         53578A108        229        1200       SH       1200        0
LOWES COS INC        COM         548661107        10398        144000       SH       144000        0
LYONDELLBASELL INDUSTRIES N        SHS - A -         N53745100        13180        163398       SH       163398        0
MACYS INC        COM         55616P104        15612        421380       SH       421380        0
MADISON SQUARE GARDEN CO NEW        CL A         55825T103        288        1700       SH       1700        0
MANPOWERGROUP INC        COM         56418H100        240        3319       SH       3319        0
MARATHON OIL CORP        COM         565849106        3639        230200       SH       230200        0
MARATHON PETE CORP        COM         56585A102        4063        100100       SH       100100        0
MARSH  MCLENNAN COS INC        COM         571748102        1338        19900       SH       19900        0
MARTIN MARIETTA MATLS INC        COM         573284106        466        2600       SH       2600        0
MASCO CORP        COM         574599106        7274        211998       SH       211998        0
MASTERCARD INCORPORATED        CL A         57636Q104        1131        11109       SH       11109        0
MAXIM INTEGRATED PRODS INC        COM         57772K101        9803        245496       SH       245496        0
MCCORMICK  CO INC        COM NON VTG         579780206        310        3100       SH       3100        0
MCDONALDS CORP        COM         580135101        12607        109287       SH       109287        0
MCKESSON CORP        COM         58155Q103        6897        41359       SH       41359        0
MEAD JOHNSON NUTRITION CO        COM         582839106        4672        59126       SH       59126        0
MEDTRONIC PLC        SHS         G5960L103        2678        31000       SH       31000        0
MICROCHIP TECHNOLOGY INC        COM         595017104        4000        64369       SH       64369        0
MICROSOFT CORP        COM         594918104        35916        623548       SH       623548        0
MOHAWK INDS INC        COM         608190104        11511        57457       SH       57457        0
MOLSON COORS BREWING CO        CL B         60871R209        341        3104       SH       3104        0
MONDELEZ INTL INC        CL A         609207105        14113        321483       SH       321483        0
MONSTER BEVERAGE CORP NEW        COM         61174X109        3422        23310       SH       23310        0
MORGAN STANLEY        COM NEW         617446448        2741        85500       SH       85500        0
MOTOROLA SOLUTIONS INC        COM NEW         620076307        11823        154998       SH       154998        0
NASDAQ INC        COM         631103108        885        13100       SH       13100        0
NEW GOLD INC CDA        COM         644535106        1894        437400       SH       437400        0
NEW YORK CMNTY BANCORP INC        COM         649445103        1202        84500       SH       84500        0
NEW YORK TIMES CO        CL A         650111107        215        18000       SH       18000        0
NEWMONT MINING CORP        COM         651639106        13326        339164       SH       339164        0
NIKE INC        CL B         654106103        4108        78028       SH       78028        0
NOBLE CORP PLC        SHS USD         G65431101        20976        3308530       SH       3308530        0
NOBLE ENERGY INC        COM         655044105        4380        122562       SH       122562        0
NORTHERN TR CORP        COM         665859104        2754        40500       SH       40500        0
NRG ENERGY INC        COM NEW         629377508        4622        412274       SH       412274        0
NUANCE COMMUNICATIONS INC        COM         67020Y100        183        12648       SH       12648        0
NUCOR CORP        COM         670346105        4554        92083       SH       92083        0
NVIDIA CORP        COM         67066G104        8450        123321       SH       123321        0
O REILLY AUTOMOTIVE INC NEW        COM         67103H107        3773        13469       SH       13469        0
OASIS PETE INC NEW        COM         674215108        298        26000       SH       26000        0
OCCIDENTAL PETE CORP DEL        COM         674599105        16028        219800       SH       219800        0
ORACLE CORP        COM         68389X105        9499        241828       SH       241828        0
OWENS CORNING NEW        COM         690742101        246        4600       SH       4600        0
PACCAR INC        COM         693718108        623        10600       SH       10600        0
PANERA BREAD CO        CL A         69840W108        2862        14700       SH       14700        0
PENNEY J C INC        COM         708160106        10455        1134000       SH       1134000        0
PENTAIR PLC        SHS         G7S00T104        296        4600       SH       4600        0
PETROCHINA CO LTD        SPONSORED ADR         71646E100        3003        44956       SH       44956        0
PETROLEO BRASILEIRO SA PETRO        SPONSORED ADR         71654V408        15956        1710200       SH       1710200        0
PFIZER INC        COM         717081103        21214        626339       SH       626339        0
PIONEER NAT RES CO        COM         723787107        8948        48200       SH       48200        0
PRICE T ROWE GROUP INC        COM         74144T108        6464        97200       SH       97200        0
PRICELINE GRP INC        COM NEW         741503403        1030        700       SH       700        0
PUBLIC STORAGE        COM         74460D109        3342        14979       SH       14979        0
PUBLIC SVC ENTERPRISE GROUP        COM         744573106        2322        55457       SH       55457        0
RANDGOLD RES LTD        ADR         752344309        7804        77981       SH       77981        0
RANGE RES CORP        COM         75281A109        2937        75804       SH       75804        0
REALOGY HLDGS CORP        COM         75605Y106        292        11300       SH       11300        0
RED HAT INC        COM         756577102        3958        48963       SH       48963        0
RIO TINTO PLC        SPONSORED ADR         767204100        15949        477500       SH       477500        0
ROGERS COMMUNICATIONS INC        CL B         775109200        15742        371700       SH       371700        0
ROSS STORES INC        COM         778296103        1193        18561       SH       18561        0
ROYAL GOLD INC        COM         780287108        4297        55500       SH       55500        0
SP GLOBAL INC        COM         78409V104        3936        31100       SH       31100        0
SBA COMMUNICATIONS CORP        COM         78388J106        2199        19604       SH       19604        0
SCHWAB CHARLES CORP NEW        COM         808513105        2122        67200       SH       67200        0
SEALED AIR CORP NEW        COM         81211K100        263        5730       SH       5730        0
SENSATA TECHNOLOGIES HLDG NV        SHS         N7902X106        293        7556       SH       7556        0
SHERWIN WILLIAMS CO        COM         824348106        3624        13100       SH       13100        0
SIBANYE GOLD LTD        SPONSORED ADR         825724206        2781        196826       SH       196826        0
SIGNATURE BK NEW YORK N Y        COM         82669G104        272        2300       SH       2300        0
SILVER WHEATON CORP        COM         828336107        9944        367874       SH       367874        0
SKYWORKS SOLUTIONS INC        COM         83088M102        4287        56310       SH       56310        0
SL GREEN RLTY CORP        COM         78440X101        400        3700       SH       3700        0
SMUCKER J M CO        COM NEW         832696405        976        7200       SH       7200        0
SOUTHERN COPPER CORP        COM         84265V105        5904        224497       SH       224497        0
SOUTHWESTERN ENERGY CO        COM         845467109        20063        1449623       SH       1449623        0
SPDR SP 500 ETF TR        TR UNIT         78462F103        2354923        10887300       SH       8829700        0
SPLUNK INC        COM         848637104        622        10600       SH       10600        0
STAPLES INC        COM         855030102        9109        1065425       SH       1065425        0
STARBUCKS CORP        COM         855244109        2431        44900       SH       44900        0
STATE STR CORP        COM         857477103        1239        17800       SH       17800        0
STERICYCLE INC        COM         858912108        393        4900       SH       4900        0
SUNCOR ENERGY INC NEW        COM         867224107        27626        996900       SH       996900        0
